,Organisation Name,City,County,Type & Rating,Route
5759,Axiom Global Limited,London,,Worker (A rating),Skilled Worker
5760,Axiom Global Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5761,Axiom Hospitality,London,,Worker (A rating),Skilled Worker
5765,Axiom Software Solutions Limited,London,Stanmore,Worker (A rating),Skilled Worker
5766,Axiom Tutoring Ltd,London,Southwark,Worker (A rating),Skilled Worker
5768,Axioma (UK) Limited,London,,Worker (A rating),Skilled Worker
5769,Axioma (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5771,Axiomise Ltd,London,,Worker (A rating),Skilled Worker
5772,AxiomSL Ltd.,London,,Worker (A rating),Skilled Worker
5773,AxiomSL Ltd.,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5774,Axis Bank UK Ltd,London,,Worker (A rating),Skilled Worker
5775,Axis Bank UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5780,Axis Mason Limited,London,,Worker (A rating),Skilled Worker
5785,AXIS Specialty Europe SE,London,,Worker (A rating),Skilled Worker
5786,AXIS Specialty Europe SE,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5790,Axium Infrastructure UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5791,Axium Infrastructure UK Ltd,London,,Worker (A rating),Skilled Worker
5793,Axon Communications Inc.,London,,Worker (A rating),Skilled Worker
5794,Axon Communications Inc.,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5800,Axora Limited,London,,Worker (A rating),Skilled Worker
5805,"AYA GARDEN LTD, trading as AYA - Lebanese Cuisine)",London,,Worker (A rating),Skilled Worker
5806,Aya Technologies Limited,London,,Worker (A rating),Skilled Worker
5809,Ayai Care Limited,London,,Worker (A rating),Skilled Worker
5812,Aye Aye Lwin Ltd T/A Yuriko Sushi,London,,Worker (A rating),Skilled Worker
5816,AYGAZ UK,London,,Worker (A rating),Skilled Worker
5824,Ayming UK Limited,London,,Worker (A rating),Skilled Worker
5828,AYR Limited,London,,Worker (A rating),Skilled Worker
5830,AYRA SOLUTIONS LTD,London,London,Worker (A rating),Skilled Worker
5833,Ayres Investment Management (UK) Limited,London,,Worker (A rating),Skilled Worker
5834,AYRTON BESPOKE LIMITED,London,,Worker (A rating),Skilled Worker
5839,Aytac Foods Limited,London,,Worker (A rating),Skilled Worker
5864,A-Zero Architects,London,London,Worker (A rating),Skilled Worker
5865,Azets Holdings Limited,London,,Worker (A rating),Skilled Worker
5866,Azeus UK Ltd,London,,Worker (A rating),Skilled Worker
5867,Azeus UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5868,Azimo Ltd,London,,Worker (A rating),Skilled Worker
5869,Azimo Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5871,Azmar Limited,London,,Worker (A rating),Skilled Worker
5874,AZR Capital Limited,London,,Worker (A rating),Skilled Worker
5875,Azra Restaurant Ltd T/A Manjaros,London,,Worker (A rating),Skilled Worker
5877,Azuma Foods UK Ltd.,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5878,Azumi Ltd T/A Zuma,London,,Worker (A rating),Skilled Worker
5879,Azur Limited t/a LPM,London,,Worker (A rating),Skilled Worker
5880,Azura Advisors UK Ltd,London,,Worker (A rating),Skilled Worker
5881,Azura Advisors UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5886,AZURE LABS UK LIMITED,London,,Worker (A rating),Skilled Worker
5889,Azurite Trading Limited,London,,Worker (A rating),Skilled Worker
5890,Azuronaut,London,UK,Worker (A rating),Skilled Worker
5900,B Bagel Ltd,London,,Worker (A rating),Skilled Worker
5901,B Healthy Ltd,London,,Worker (A rating),Skilled Worker
5907,B Transfer Services Limited,London,,Worker (A rating),Skilled Worker
5908,B Transfer Services Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5913,B&C London Investment Solutions Ltd,London,,Worker (A rating),Skilled Worker
5916,B&R DISTRIBUTION LTD,London,ENGLAND,Worker (A rating),Skilled Worker
5918,B&S Int. Ltd,London,,Worker (A rating),Skilled Worker
5923,B.B. Energy Trading Ltd,London,,Worker (A rating),Skilled Worker
5925,B.C. STRATEGY UK LIMITED,London,,Worker (A rating),Skilled Worker
5926,B.C. STRATEGY UK LIMITED,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5937,B3 Designers Ltd,London,,Worker (A rating),Skilled Worker
5938,B3 SA Brasil Bolsa Balcao UK Ltd,London,,Worker (A rating),Skilled Worker
5939,B3 SA Brasil Bolsa Balcao UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5941,BAABUL LIMITED,London,,Worker (A rating),Skilled Worker
5958,Babb Technologies LTD,London,,Worker (A rating),Skilled Worker
5961,Babcock & Wilcox Volund Limited,London,,Worker (A rating),Skilled Worker
5962,Babcock & Wilcox Volund Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5963,Babcock Defence & Security Holdings LLP,London,,Worker (A rating),Skilled Worker
5964,Babcock Defence & Security Holdings LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5967,Babcock International Limited,London,,Worker (A rating),Skilled Worker
5968,Babcock International Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5986,Babylon Park UK Play & Entertainment Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5987,Babylon Park UK Play & Entertainment Ltd,London,,Worker (A rating),Skilled Worker
5988,Babylon Partners Limited,London,,Worker (A rating),Skilled Worker
5989,Babylon Partners Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5991,Baca Architects Limited,London,,Worker (A rating),Skilled Worker
5992,Bacardi Global Brands Ltd,London,,Worker (A rating),Skilled Worker
5993,Bacardi Global Brands Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
5994,Bacchanalia Ltd,London,,Worker (A rating),Skilled Worker
5995,Bacchus Capital Advisers Limited,London,,Worker (A rating),Skilled Worker
6009,"BackBay Communications, Inc",London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6010,Backes & Strauss LTD,London,,Worker (A rating),Skilled Worker
6014,BACKPAGES LIMITED,London,,Worker (A rating),Skilled Worker
6016,Bactobio Ltd,London,,Worker (A rating),Skilled Worker
6019,Badenoch and Clark Limited,London,,Worker (A rating),Skilled Worker
6020,Badenoch and Clark Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6030,Badoo Limited,London,,Worker (A rating),Skilled Worker
6031,Badoo Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6034,BAE Systems Plc,London,,Worker (A rating),Skilled Worker
6035,BAE Systems Plc,London,,Temporary Worker (A rating),Government Authorised Exchange
6036,BAE Systems Plc,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6037,BAE Systems Plc,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
6040,Bagatelle Dover Street Limited T/A Bagatelle London,London,,Worker (A rating),Skilled Worker
6041,Bageera Ltd,London,,Worker (A rating),Skilled Worker
6042,Bagelcode UK LTD,London,,Worker (A rating),Skilled Worker
6043,Bagelcode UK LTD,London,,Temporary Worker (A rating),Creative Worker
6044,Bagelcode UK LTD,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6047,Baglioni (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6048,Baglioni (UK) Limited,London,,Worker (A rating),Skilled Worker
6055,Bahamas Maritime Authority,London,,Temporary Worker (A rating),International Agreement
6058,BAI Communications Limited,London,,Worker (A rating),Skilled Worker
6059,BAI Communications Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6060,Bailey & Jones Ltd,London,,Worker (A rating),Skilled Worker
6065,Baily Garner (Health & Safety) Ltd,London,,Worker (A rating),Skilled Worker
6066,Baily Garner LLP,London,,Worker (A rating),Skilled Worker
6069,Bain Capital,London,,Worker (A rating),Skilled Worker
6070,Bain Capital,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6071,Bainbridge (UK) Services Ltd,London,,Worker (A rating),Skilled Worker
6086,Baker & McKenzie LLP,London,,Worker (A rating),Skilled Worker
6087,Baker & McKenzie LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6088,Baker Botts (UK) LLP,London,,Worker (A rating),Skilled Worker
6089,Baker Botts (UK) LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6099,Baker Street News Ltd.,London,,Worker (A rating),Skilled Worker
6107,Bakken & Baeck Ltd,London,,Worker (A rating),Skilled Worker
6114,Balance Legal Capital LLP,London,,Worker (A rating),Skilled Worker
6115,Balance Performance Physiotherapy,London,London,Worker (A rating),Skilled Worker
6117,Balanz Capital UK LLP,London,,Worker (A rating),Skilled Worker
6119,Balbec Capital Limited,London,,Worker (A rating),Skilled Worker
6120,Balbec Capital Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6122,Balderton Capital (UK) LLP,London,,Worker (A rating),Skilled Worker
6130,Balena Ltd,London,,Worker (A rating),Skilled Worker
6131,Balena Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6132,Balfour Beatty Group Employment Limited,London,,Worker (A rating),Skilled Worker
6133,Balfour Beatty Group Employment Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6135,Balham Park Surgery,London,,Worker (A rating),Skilled Worker
6136,Balham Vineyard Church,London,,Worker (A rating),Tier 2 Ministers of Religion
6137,Balham Vineyard Church,London,,Temporary Worker (A rating),Charity Worker
6140,BALIS LOGISTICS LTD,London,,Worker (A rating),Skilled Worker
6144,Ballard Motive Solutions Ltd,London,,Worker (A rating),Skilled Worker
6145,Ballet Black,London,,Temporary Worker (A rating),Creative Worker
6146,Ballet Black,London,,Worker (A rating),Skilled Worker
6147,Ballie LTD T/A Ballie Ballerson,London,,Worker (A rating),Skilled Worker
6149,Ballinger & Co Ltd,London,,Worker (A rating),Skilled Worker
6156,Ballymore Construction Services Limited,London,,Worker (A rating),Skilled Worker
6157,Ballymore Development Management Limited,London,,Worker (A rating),Skilled Worker
6169,BALRE TECHNOLOGIES LTD,London,,Worker (A rating),Skilled Worker
6180,Baltic Pets Ltd T/A Poplar Vets,London,,Worker (A rating),Skilled Worker
6183,Balyasny Europe Asset Management LLP,London,,Worker (A rating),Skilled Worker
6184,Balyasny Europe Asset Management LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6193,Bamboo Limited,London,,Worker (A rating),Skilled Worker
6205,Banana Split Ltd.,London,,Temporary Worker (A rating),Creative Worker
6206,Banana Tree Restaurants Ltd T/A Banana Tree,London,,Worker (A rating),Skilled Worker
6214,Banco Bilbao Vizcaya Argentaria S.A.,London,,Worker (A rating),Skilled Worker
6215,Banco Bilbao Vizcaya Argentaria S.A.,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6216,Banco de Sabadell S.A.,London,,Worker (A rating),Skilled Worker
6217,Banco de Sabadell S.A.,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6220,"Banco Santander SA, London Branch",London,,Worker (A rating),Skilled Worker
6221,"Banco Santander SA, London Branch",London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6222,"Banco Santander SA, London Branch",London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
6227,Banda Limited,London,,Worker (A rating),Skilled Worker
6237,Banfico Limited,London,,Worker (A rating),Skilled Worker
6238,Bang Edutainment Ltd,London,,Temporary Worker (A rating),Creative Worker
6240,Bang UK Limited,London,London,Temporary Worker (A rating),Creative Worker
6241,Bangkok Bank Public Company Ltd,London,,Worker (A rating),Skilled Worker
6242,Bangkok Bank Public Company Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6245,Bangladesh High Commission and its subordinate offices in UK,London,,Temporary Worker (A rating),International Agreement
6247,BANGLADESHI SWEETS LIMITED T/A Banoful,London,,Worker (A rating),Skilled Worker
6255,Bank Indonesia,London,,Worker (A rating),Skilled Worker
6256,Bank Indonesia,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6257,Bank Leumi (UK) plc,London,,Worker (A rating),Skilled Worker
6258,Bank Leumi (UK) plc,London,,Temporary Worker (A rating),Creative Worker
6259,Bank Leumi (UK) plc,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6260,Bank Mandiri (Europe) Limited,London,,Worker (A rating),Skilled Worker
6261,Bank Mandiri (Europe) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6263,Bank of Africa United Kingdom PLC,London,,Worker (A rating),Skilled Worker
6264,Bank of Africa United Kingdom PLC,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6265,"Bank of America, N.A.",London,,Worker (A rating),Skilled Worker
6266,"Bank of America, N.A.",London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6267,Bank of Baroda (UK) Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6269,Bank of Beirut (UK) Ltd,London,,Worker (A rating),Skilled Worker
6270,Bank of Beirut (UK) Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6273,Bank of China (UK) Limited,London,,Worker (A rating),Skilled Worker
6274,Bank of China (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6275,Bank of China (UK) Limited,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
6278,"Bank of Communications Co., Limited London Branch",London,,Worker (A rating),Skilled Worker
6279,"Bank of Communications Co., Limited London Branch",London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6280,Bank of East Asia Limited,London,,Worker (A rating),Skilled Worker
6281,Bank of East Asia Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6283,Bank of India,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6284,Bank of India,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
6286,Bank of Japan,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6287,Bank of London and The Middle East Plc,London,,Worker (A rating),Skilled Worker
6288,Bank Of Montreal,London,,Worker (A rating),Skilled Worker
6289,Bank Of Montreal,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6290,Bank of New York Mellon,London,,Worker (A rating),Skilled Worker
6291,Bank of New York Mellon,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6292,Bank of Taiwan,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6293,Bank of the Philippine Islands (Europe) Plc,London,,Worker (A rating),Skilled Worker
6294,Bank of the Philippine Islands (Europe) Plc,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6295,Bank Saderat Plc,London,,Worker (A rating),Skilled Worker
6296,Bank Saderat Plc,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6297,Bank Sepah International PLC,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6301,Banking Circle,London,,Worker (A rating),Skilled Worker
6302,Banking Circle,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6303,Banking Circle,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
6315,BANOFUL LIMITED,London,,Worker (A rating),Skilled Worker
6317,Banor Capital Limited,London,,Worker (A rating),Skilled Worker
6319,Banque Chaabi Du Maroc,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6320,Banque Chaabi Du Maroc,London,,Worker (A rating),Skilled Worker
6326,Bantham Technologies Limited,London,,Worker (A rating),Skilled Worker
6328,Banya Family  Ltd,London,,Worker (A rating),Skilled Worker
6331,Banyan Educational Consultancy Ltd,London,,Worker (A rating),Skilled Worker
6337,BAPS Swaminarayan Sanstha,London,,Worker (A rating),Tier 2 Ministers of Religion
6338,BAPS Swaminarayan Sanstha,London,,Temporary Worker (A rating),Religious Worker
6339,BAPS Swaminarayan Sanstha,London,,Temporary Worker (A rating),Creative Worker
6340,BAPS Swaminarayan Sanstha,London,,Temporary Worker (A rating),Charity Worker
6346,Bar des Pres Ltd,London,,Worker (A rating),Skilled Worker
6347,Bar Esteban Ltd,London,,Worker (A rating),Skilled Worker
6349,Bar Shu Restaurant Limited,London,,Worker (A rating),Skilled Worker
6354,Barar & Associates,London,,Worker (A rating),Skilled Worker
6355,Barbados High Commission,London,,Temporary Worker (A rating),International Agreement
6358,Barber Osgerby Limited,London,,Worker (A rating),Skilled Worker
6360,Barbuss (UK) Limited,London,,Worker (A rating),Skilled Worker
6366,Barclay Legal Limited,London,,Worker (A rating),Skilled Worker
6367,Barclays Bank PLC,London,,Worker (A (Premium)),Skilled Worker
6368,Barclays Bank PLC,London,,Worker (A (Premium)),Global Business Mobility: Senior or Specialist Worker
6369,Barclays Bank UK PLC,London,,Worker (A (Premium)),Skilled Worker
6370,Barclays Bank UK PLC,London,,Worker (A (Premium)),Global Business Mobility: Senior or Specialist Worker
6371,Barclays Execution Services Limited,London,,Worker (A (Premium)),Skilled Worker
6372,Barclays Execution Services Limited,London,,Worker (A (Premium)),Global Business Mobility: Senior or Specialist Worker
6373,Barclays Execution Services Limited,London,,Temporary Worker (A (Premium)),Global Business Mobility: Graduate Trainee
6379,Bardin Hill Loan Advisors (UK) LLP,London,,Worker (A rating),Skilled Worker
6380,Bardin Hill Loan Advisors (UK) LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6385,BARETTO LIMITED T/A II BARETTO,London,,Worker (A rating),Skilled Worker
6390,Bargain Windows Ltd,London,,Worker (A rating),Skilled Worker
6391,Barge East,London,,Worker (A rating),Skilled Worker
6395,Barhil 2021 Limited T/A CERU,London,,Worker (A rating),Skilled Worker
6397,Barilla International Limited UK,London,,Worker (A rating),Skilled Worker
6398,Barilla International Limited UK,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6401,Baring Asset Management Limited,London,,Worker (A rating),Skilled Worker
6402,Baring Lodge Residential Home,London,,Worker (A rating),Skilled Worker
6403,Baringa Partners LLP,London,,Worker (A rating),Skilled Worker
6404,Baringa Partners LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6405,Barings (U.K.) Limited,London,,Worker (A rating),Skilled Worker
6406,Barings (U.K.) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6408,Barjane International Group Limited,London,,Worker (A rating),Skilled Worker
6409,Barjane International Group Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6410,Barjane International Group Limited,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
6411,Bark.com Global Limited,London,Greater London,Worker (A rating),Skilled Worker
6423,Barlow and Barlow Design Limited,London,,Worker (A rating),Skilled Worker
6441,Barnet Estates (London) LLP,London,,Worker (A rating),Skilled Worker
6470,Barrel Industries Ltd t/a Milroy's of Soho,London,,Worker (A rating),Skilled Worker
6474,Barrett Mahony Consulting Engineers UK Ltd,London,London,Worker (A rating),Skilled Worker
6476,Barrie Tankel Partnership Limited,London,,Worker (A rating),Skilled Worker
6485,Barrows London Limited,London,,Worker (A rating),Skilled Worker
6486,Barrows London Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6491,Barry's Bootcamp Ltd,London,,Worker (A rating),Skilled Worker
6497,Bartholomew Landscaping Ltd,London,,Worker (A rating),Skilled Worker
6511,Barts Health National Health Service Trust,London,,Worker (A rating),Skilled Worker
6512,Baruch Enterprises Ltd,London,UK,Worker (A rating),Skilled Worker
6515,Barworks Ltd,London,,Worker (A rating),Skilled Worker
6519,Basalt Infrastructure Partners LLP,London,,Worker (A rating),Skilled Worker
6527,Basecamp Research,London,Select...,Worker (A rating),Skilled Worker
6528,Based Upon Ltd,London,,Worker (A rating),Skilled Worker
6529,BASEEL LIMITED,London,,Worker (A rating),Skilled Worker
6530,BASEEL LIMITED,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6537,Bashtan Ltd,London,,Worker (A rating),Skilled Worker
6546,Basis Research Limited,London,,Worker (A rating),Skilled Worker
6551,Basketball Entertainment Partners Ltd,London,,Worker (A rating),Skilled Worker
6562,Bastows Ltd,London,London,Worker (A rating),Skilled Worker
6565,Basuri Limited T/A Basuri Dabeli,London,,Worker (A rating),Skilled Worker
6566,Basware Holdings Ltd,London,,Worker (A rating),Skilled Worker
6567,Basware Holdings Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6568,Bat & Alt LTD,London,,Worker (A rating),Skilled Worker
6572,Batchw limited,London,,Worker (A rating),Skilled Worker
6573,Bates Wells & Braithwaite London LLP,London,,Worker (A rating),Skilled Worker
6600,Battersea Arts Centre,London,,Worker (A rating),Skilled Worker
6601,Battersea Arts Centre,London,,Temporary Worker (A rating),Creative Worker
6602,Battersea Bridge House Limited,London,,Worker (A rating),Skilled Worker
6604,Battersea Power Station Development Company Limited,London,,Worker (A rating),Skilled Worker
6606,Batu Lapan Limited,London,,Worker (A rating),Skilled Worker
6631,BAY CAPITAL PARTNERS UK LIMITED,London,,Worker (A rating),Skilled Worker
6641,Bayar Hughes & Co,London,,Worker (A rating),Skilled Worker
6646,Bayerische Landesbank,London,,Worker (A rating),Skilled Worker
6647,Bayerische Landesbank,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6649,Bayis Sheli Limited,London,,Worker (A rating),Skilled Worker
6652,Bayleaf Restaurant Ltd,London,,Worker (A rating),Skilled Worker
6658,Baytex Ltd,London,,Worker (A rating),Skilled Worker
6668,BB Brighton Ltd,London,,Worker (A rating),Skilled Worker
6671,BB Securities Ltd,London,,Worker (A rating),Skilled Worker
6672,BB Securities Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6677,BBD Perfect Storm (London) Limited,London,,Worker (A rating),Skilled Worker
6678,BBD Software Limited,London,,Worker (A rating),Skilled Worker
6679,BBD Software Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6680,BBH Partners LLP,London,,Worker (A rating),Skilled Worker
6681,BBH Partners LLP,London,,Temporary Worker (A rating),Creative Worker
6682,BBH Partners LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6685,BBNA LIMITED,London,,Worker (A rating),Skilled Worker
6686,BBOXX Ltd,London,,Worker (A rating),Skilled Worker
6687,BBOXX Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6695,BBUK Studio Limited,London,,Worker (A rating),Skilled Worker
6696,BBWW LIMITED,London,,Worker (A rating),Skilled Worker
6697,BBWW LIMITED,London,,Temporary Worker (A rating),Creative Worker
6700,BC Group Support SARL (UK Branch),London,,Worker (A rating),Skilled Worker
6701,BC INVESTMENT GROUP (UK) LIMITED,London,,Worker (A rating),Skilled Worker
6703,BC PARTNERS LLP,London,,Worker (A rating),Skilled Worker
6709,BCDH Capital Holding (UK) Limited,London,,Worker (A rating),Skilled Worker
6710,BCDH Capital Holding (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6714,BCG Digital Ventures,London,,Worker (A rating),Skilled Worker
6715,BCG Digital Ventures,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6717,BCG Global Specialty Businesses,London,,Worker (A rating),Skilled Worker
6718,BCG Global Specialty Businesses,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6723,BCL Management and Consultancy Ltd,London,,Worker (A rating),Skilled Worker
6724,BCL Solicitors LLP,London,,Worker (A rating),Skilled Worker
6736,BCS Prime Brokerage Ltd,London,,Worker (A rating),Skilled Worker
6737,BCS Prime Brokerage Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6739,BD Associates Limited,London,,Worker (A rating),Skilled Worker
6748,BDA Partners (London) Limited,London,,Worker (A rating),Skilled Worker
6749,BDB Pitmans LLP,London,,Worker (A rating),Skilled Worker
6750,bd-capital Partners Limited,London,,Worker (A rating),Skilled Worker
6753,BDG Architecture + Design Limited,London,,Worker (A rating),Skilled Worker
6754,BDL Restaurant Ltd,London,,Worker (A rating),Skilled Worker
6755,BDO LLP,London,,Worker (A rating),Skilled Worker
6756,BDO LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6757,BDP Management Services Ltd,London,,Worker (A rating),Skilled Worker
6758,BDP Management Services Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6762,"BDT & Company International, LLP",London,,Worker (A rating),Skilled Worker
6763,"BDT & Company International, LLP",London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6764,"BDT & Company International, LLP",London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
6766,BDW Trading Limited (trading as Barratt London),London,,Worker (A rating),Skilled Worker
6767,Be A Bear Ltd,London,London,Worker (A rating),Skilled Worker
6774,Be Shaping the Future Management Consulting Ltd,London,,Worker (A rating),Skilled Worker
6775,Be Shaping the Future Management Consulting Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6776,"BeAccount Ltd., trading as Payine",London,,Worker (A rating),Skilled Worker
6779,Beach Equity Investments LLP,London,,Worker (A rating),Skilled Worker
6788,Beacon Platform Limited,London,,Worker (A rating),Skilled Worker
6789,Beacon Platform Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6790,Beacon Technologies Limited,London,,Worker (A rating),Skilled Worker
6793,BEACONSFIELD,London,,Temporary Worker (A rating),Creative Worker
6794,Beadmans LLP,London,,Worker (A rating),Skilled Worker
6796,Beadvisors UK Ltd,London,,Worker (A rating),Skilled Worker
6798,Beale & Company Solicitors LLP,London,,Worker (A rating),Skilled Worker
6800,BEAM ABA Services,London,London,Worker (A rating),Skilled Worker
6804,Beamery Ltd,London,,Worker (A rating),Skilled Worker
6813,Bear Cave Barbers Ltd,London,,Worker (A rating),Skilled Worker
6816,Beara Beara Ltd,London,,Worker (A rating),Skilled Worker
6818,BearingPoint Limited,London,,Worker (A rating),Skilled Worker
6819,BearingPoint Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6824,Beat Services Limited,London,,Worker (A rating),Skilled Worker
6825,Beattie McGuiness Bungay Limited (BMB Ltd),London,,Worker (A rating),Skilled Worker
6829,Beaufort Commodities LLP,London,,Worker (A rating),Skilled Worker
6831,Beaumont Business Centres Ltd.,London,,Worker (A rating),Skilled Worker
6841,BEAUTY LOGISTICS LIMITED,London,,Worker (A rating),Skilled Worker
6844,Beauty Pie Ltd,London,,Worker (A rating),Skilled Worker
6845,Beauty Pie Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6846,Beautystack Limited,London,,Worker (A rating),Skilled Worker
6850,Beavertown Brewery Limited,London,,Worker (A rating),Skilled Worker
6851,Beavis Morgan LLP,London,,Worker (A rating),Skilled Worker
6852,BEAZLEY MANAGEMENT LIMITED,London,,Worker (A rating),Skilled Worker
6853,BEAZLEY MANAGEMENT LIMITED,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6854,Bebek Istanbul Ltd,London,,Worker (A rating),Skilled Worker
6856,Bechtel Limited,London,,Worker (A rating),Skilled Worker
6857,Bechtel Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
6864,Beckett House Practice,London,,Worker (A rating),Skilled Worker
6865,BECKETT RANKINE LIMITED,London,,Worker (A rating),Skilled Worker
6875,BECOCO Ltd,London,,Worker (A rating),Skilled Worker
6885,Bedell Cristin,London,,Worker (A rating),Skilled Worker
6895,Bedrock Capital Limited,London,,Worker (A rating),Skilled Worker
6898,Bee Mindful Limited,London,,Worker (A rating),Skilled Worker
6900,Bee World UK Limited T/A Jollibee,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
